id;kode_obat;nama_obat;satuan;harga_satuan;komposisi;kategori;keterangan;created_at;updated_at;deleted_at 
543;OBUM317;Vaksin polio;botol;;;;;;;
544;OBUM318;Vaksin rabies, untuk manusia;vial;;;;;;;
545;OBUM319;Valproat 250 mg;tablet salut;;;;;;;
546;OBUM320;Valproat 500 mg;tablet salut;;;;;;;
547;OBUM321;Valproat 250 mg/5 mL;botol;;;;;;;
548;OBUM322;Vitamin B kompleks;tablet;131;;;;;;
549;OBUM323;Zinc 10 mg/mL;botol;;;;;;;
550;OBUM324;Zinc 20 mg ;tablet disp;;;;;;;
551;OBUM325;Zinc 20 mg/5 mL;botol;2.489;;;;;;
552;OBUM326;Zinc 10 mg;;;;;;;;
553;OBUM327;Akarbose tab 100 mg;Tablet;;;;;;;
554;OBUM328;Alprazolam tab 0,5 mg;Tablet;671;;;;;;
555;OBUM329;Alprazolam tab 1 mg;Tablet;;;;;;;
556;OBUM330;Alumunium Hidroksida, Magnesium Hidroksida, Simethicone ;Botol;;;;;;;
557;OBUM331;Ambroksol Drop 7.5 Mg/ml ;Botol;;;;;;;
558;OBUM332;Ambroksol Syr 15mg/5ml 60 Ml;Botol;3.300;;;;;;
559;OBUM333;Ambroksol Syr 30mg/5ml 60 Ml;Botol;;;;;;;
560;OBUM334;Ambroksol Tablet 30 Mg;Tablet;109;;;;;;
561;OBUM335;Amiodaron tab 200 mg;Tablet;;;;;;;
562;OBUM336;Amiodaron inj 150 mg/3 ml;Ampul;;;;;;;
563;OBUM337;Amoksisilin drop 100 mg/ml;Botol;;;;;;;
564;OBUM338;Amoksisilin kaps. 250 mg;Kapsul;179;;;;;;
565;OBUM339;Amoksisilin sirup kering 125mg/5ml;Botol;3.500;;;;;;
566;OBUM340;Amoksisilin 125 mg + Kalium Klavulanat 31,25 mg sirup;Botol;;;;;;;
567;OBUM341;Amoksisilin 250 mg + Kalium Klavulanat 62,5 mg sirup;Botol;;;;;;;
568;OBUM342;Amoksisilin 500 mg + Kalium klavulanat 125 mg ;Tablet;;;;;;;
569;OBUM343;Ampisilin tablet 500 mg;Tablet;392;;;;;;
570;OBUM344;Ampisilin 1 gram + Sulbaktam 500 mg injeksi;Vial;;;;;;;
571;OBUM345;Ampisilin 500 mg + Sulbaktam 250 mg;Vial;;;;;;;
572;OBUM346;Amylase, protease, lipase, desoxycholic acid, dimethylpolysiloxane, vit B1, vit B2, vit B6, vit B12, niacinamide, Ca pantothenate tablet;Tablet;;;;;;;
573;OBUM347;Antalgin Tablet 500 Mg;Tablet;228;;;;;;
574;OBUM348;Antalgin injeksi;Ampul;;;;;;;
575;OBUM349;Antibakteri, kombinasi : basitrasin 500 UI/g+  Polimiskin B 10.000 UI/g                           ;Tube;3.035;;;;;;
576;OBUM350;Antimigrain DOEN kombinasi : Ergotamin + Caffein;Tablet;185;;;;;;
577;OBUM351;Aquadest steril 500 ml;Botol;42.900;;;;;;
578;OBUM352;Antidulafungin 100 mg injeksi;Ampul;;;;;;;
579;OBUM353;Aripiprazol 10 mg tablet;Tablet;;;;;;;
580;OBUM354;Asam asetilsalisilat tab 500 mg;Tablet;;;;;;;
581;OBUM355;Asam asetilsalisilat tab 100 mg;Tablet;;;;;;;
582;OBUM356;Asam askorbat (vitamin C) tab 100 mg;Tablet;;;;;;;
583;OBUM357;Asam askorbat (vitamin C) tab 25 mg;Tablet;;;;;;;
584;OBUM358;As.Folat, ß-Carotene, Vit.B1, B2, B6, Ca.Pantothenate, Ca carbonate, vitamin D3, vitamin K1, biotin, besi glukonat, IPC, DHA, ARA;Tablet;;;;;;;
585;OBUM359;Asam Risedronic tablet 35 mg;Tablet;;;;;;;
586;OBUM360;Asam pipemidat 400 mg (Urinter);Tablet;1.494;;;;;;
587;OBUM361;Asam traneksamat tab 500 mg;Tablet;1.260;;;;;;
588;OBUM362;Asam traneksamat injeksi;Ampul;1.748;;;;;;
589;OBUM363;Asefillin Piperazine injeksi 500 mg/5 ml;Ampul;;;;;;;
590;OBUM364;Asetazolamide tab 250 mg (glaucon);Tablet;;;;;;;
591;OBUM365;Asiklovir injeksi;Vial;;;;;;;
592;OBUM366;Asiklovir Krim 5 %;Tube;5.577;;;;;;
593;OBUM367;Astasantin kapsul;Kapsul;;;;;;;
594;OBUM368;Atorvastatin 10 Mg Tab;Tablet;;;;;;;
595;OBUM369;Atorvastatin 20mg tab;Tablet;;;;;;;
596;OBUM370;Azitromisin tab 500 mg;Tablet;1.778;;;;;;
597;OBUM371;Azitromisin tab 250 mg;Tablet;;;;;;;
598;OBUM372;Azitromisin 500mg inj;Vial;;;;;;;
599;OBUM373;Besi II Sulfat , Folic acid, Magnesium, Vit A, Copper, vit B ;botol;;;;;;;
600;OBUM374;Betahistine tablet 6 mg;Tablet;110;;;;;;
601;OBUM375;Beta karoten 6000 IU, Extract billberry 80 mg, Vitamin C 100 mg, Vitamin E 25 mg, Lutein 3 mg, Lycopene 2 mg, Zn 10 mg;Tablet;;;;;;;
602;OBUM376;Betametason valerat 0,1 % +  neomisin sulfat 0,5 %;Tube;;;;;;;
603;OBUM377;Betamethasone valerate 0.1% + Gentamicin sulfate 0.1%;Tube;;;;;;;
604;OBUM378;Bisoprolol 1.25 mg (Concor);tablet;635;;;;;;
605;OBUM379;Bisoprolol 5 mg;Tablet;;;;;;;
606;OBUM380;Borak Glyserol 5 % larutan (GOM);Botol;3.465;;;;;;
607;OBUM381;Bromheksin HCl 4 mg/2ml injeksi;Ampul;;;;;;;
608;OBUM382;Bromheksin HCl Elixir 4 Mg/5 Ml 60 Ml;Botol;;;;;;;
609;OBUM383;Bromheksin HCl Sol 2mg/ml 50 Ml;Botol;84.920;;;;;;
610;OBUM384;Bromheksin HCl Tablet 8 Mg;Tablet;65;;;;;;
611;OBUM385;Celecoxib 100 mg;Tablet;;;;;;;
612;OBUM386;Celecoxib 200 mg;Tablet;;;;;;;
613;OBUM387;Chlorhexidine;Botol;;;;;;;
614;OBUM388;Clidinium Br 2.5 Mg, Chlordiazepoxide 5 Mg.;Tablet;;;;;;;
615;OBUM389;Curcuma Root Sirup;Botol;;;;;;;
616;OBUM390;Curcumaminoid, B1, B2, B6, B12, B caroten;Tablet;;;;;;;
617;OBUM391;Deksketoprofen injeksi 50 mg;Ampul;;;;;;;
618;OBUM392;Deksketoprofen tablet 25 mg ;Tablet;;;;;;;
619;OBUM393;Dekspanthenol krim 5 %;Tube;;;;;;;
620;OBUM394;Desonide Krim 0,05 % ;Tube;30.000;;;;;;
621;OBUM395;Dextromethorphan, maleate, phenylephrine sirup (Dextral Syr);Botol;7.178;;;;;;
622;OBUM396;Diazepam 2 mg + Metampiron 500 mg;Tablet;;;;;;;
623;OBUM397;Dibasic Ca phosphate 200 mg, Ca lactate 100 mg, vit B6 20 mg, vit C 25 mg, vit D3 100 IU tablet;Tablet;;;;;;;
624;OBUM398;Dibekacin Vial 100 mg/2 ml;Ampul;;;;;;;
625;OBUM399;Dibekacin vial 50 mg/ 2 ml;Ampul;;;;;;;
626;OBUM400;Diosmin 450 mg + hesperidin 50 mg tablet;Tablet;;;;;;;
627;OBUM401;Domperidone Suspensi;Botol;2.455;;;;;;
628;OBUM402;Dopamine HCL Injeksi.;Ampul;;;;;;;
629;OBUM403;Drop per ml : Isothipendyl HCl 1 mg, acetaminophen 120 mg, phenylephrine HCl 1 mg ;Botol;;;;;;;
630;OBUM404;Efedrin HCl tablet 25 mg;Tablet;184;;;;;;
631;OBUM405;Ekstrak Belladona tab 10 mg;Tablet; - ;;;;;;
632;OBUM406;Ekstrak plasenta 10 %, neomisin sulfat 0.5 % Gel (Bioplacenton) (neocenta gell);Tube;18.500;;;;;;
633;OBUM407;Ekstrak plasenta 15 mg, Vitamin B12 20 mcg, dan tribasic calcium phosphate 12 mcg. ;Tablet;;;;;;;
634;OBUM408;Elemen Besi + Asam Folat oral drop 15 mg/ml;Botol;;;;;;;
635;OBUM409;Entecavir 0.5 mg;Tablet;;;;;;;
636;OBUM410;Eperisone Tablet ;Tablet;;;;;;;
637;OBUM411;Erdosteine sirup 175 mg/5 ml;Botol;;;;;;;
638;OBUM412;Eritromisin tab 500 mg;Tablet;750;;;;;;
639;OBUM413;Estazolam Tablet 2 Mg;Tablet;;;;;;;
640;OBUM414;Ethamsilat injeksi 250 mg;Ampul;;;;;;;
641;OBUM415;Etoricoxib tab 60 mg;Tablet;;;;;;;
642;OBUM416;Famotidin tab 40 mg;Tablet;;;;;;;
643;OBUM417;Fenilbutazon tab 200 mg;Tablet;;;;;;;
644;OBUM418;Fenobarbital inj. 50 mg/ml;Ampul;;;;;;;
645;OBUM419;Flavoxate hidroklorida 200 mg;Tablet;;;;;;;
646;OBUM420;Florometolon 1 mg + Neomisin sulfat 3.5 mg/ml;Botol;;;;;;;
647;OBUM421;fludrocortisone, lidocaine, neomysin, polymiksin B tetes telinga (Ottopain);Botol;22.000;;;;;;
648;OBUM422;Fluphenazine dekanoat injeksi 25 mg/ml;Ampul;63.986;;;;;;
649;OBUM423;Flukonazole kaps 150 mg (HIBAH);Kapsul;;;;;;;
650;OBUM424;Flunarizin tablet 10 mg;Tablet;;;;;;;
651;OBUM425;Flunarizin tablet 5 mg;Tablet;;;;;;;
652;OBUM426;Fluorometolon tts mata 0,1%;Botol;;;;;;;
653;OBUM427;Fluoxetine tab;tablet;;;;;;;
654;OBUM428;Fosfomisin Vial 2 G;Vial;;;;;;;
655;OBUM429;Fradiomisin Sulfat 2,5 mg, Gramisidin-S HCl 1 mg tablet;Tablet;;;;;;;
656;OBUM430;Framisetin sulfat kassa steril;Lembar;24.200;;;;;;
657;OBUM431;Fructus schizandrae extract siccum 7,5mg;Kapsul;;;;;;;
658;OBUM432;Gatifloxacin tetes mata;Botol;;;;;;;
659;OBUM433;Gemfibrozil tab 300 mg;tablet;496;;;;;;
660;OBUM434;Gentamisin injeksi 40 mg/ml;Ampul;3.399;;;;;;
661;OBUM435;Gentamisin sulfat salep mata;Tube;;;;;;;
662;OBUM436;Gentamisin tts mata 0,3%;Botol;4.232;;;;;;
663;OBUM437;Gentamisin Salep Kulit ;Tube;2.324;;;;;;
664;OBUM438;Gentian Violet Larutan 1 %;Botol;3.135;;;;;;
665;OBUM439;Gliseril guaiakolat 100 mg;Tablet;90;;;;;;
666;OBUM440;Glikuidon tablet;Tablet;;;;;;;
667;OBUM441;Glucosamin Hcl 500 Mg + Kondroitin Sulfat 400 Mg;Kaplet ;;;;;;;
668;OBUM442;Glucosamin Tablet 250 Mg;Tablet;;;;;;;
669;OBUM443;Glucosamin tablet 500 mg;Tablet;;;;;;;
670;OBUM444;Glucosamine sulphate 500 mg, chondroitin sulfate 400 mg, vit C 50 mg, manganese 0.5 mg, Mg 10 mg, selenium 10 mcg, Zn 5 mg, MSM 350 mg tablet;Tablet;;;;;;;
671;OBUM445;Glukosa 70% (Dextran 70) larutan steril;Botol;;;;;;;
672;OBUM446;Glukosa 40% larutan infus;Botol;10.000;;;;;;
673;OBUM447;Glukosa 10% larutan infus;Botol;;;;;;;
674;OBUM448;Glukosa 5% larutan infus;Botol;6.627;;;;;;
675;OBUM449;Granisetron injeksi 3 mg;Ampul;;;;;;;
676;OBUM450;Hidrokortison krim 0,5%;Tube;;;;;;;
677;OBUM451;Hidrokortison krim 1%;Tube;;;;;;;
678;OBUM452;Hidrokortison 0.5 % + Kloramfenikol 0.2 % salep mata 3,5 g;Tube;;;;;;;
679;OBUM453;Hyoscine-N-butylbromide 10 mg, Paracetamol 500 mg;Tablet;;;;;;;
680;OBUM454;Hyoscine-N-butylbromide 20 mg/ml injeksi;Ampul;7.920;;;;;;
681;OBUM455;Ibuprofen Supp 125mg;Suppos;;;;;;;
682;OBUM456;Ichtyol salep ( salep hitam );pot;6.710;;;;;;
683;OBUM457;Ilberry extract, gliserin, gelatin, minyak sayur;Botol;;;;;;;
684;OBUM458;Imipenem Cilastatin Vial 1 G;Vial;;;;;;;
685;OBUM459;Ion Natrium & Kalium dengan Benzalkonium Cl tetes mata;Botol;;;;;;;
686;OBUM460;Isoksuprine Hcl Injeksi;Ampul;;;;;;;
687;OBUM461;Isoksuprine Tablet 20 Mg;Tablet;;;;;;;
688;OBUM462;Itraconazole Kapsul 100 Mg;Kapsul;;;;;;;
689;OBUM463;Kalium Diklofenak 25 mg tablet;Tablet;309;;;;;;
690;OBUM464;Kalium Diklofenak 50 Mg  Tablet ;Tablet;190;;;;;;
691;OBUM465;Kalium Permanganat ( PK );pot;4.950;;;;;;
692;OBUM466;Kalium L-Aspartat tab 300 mg;Tablet;;;;;;;
693;OBUM467;Kanamisin Inj. 1 G;Vial;11.000;;;;;;
694;OBUM468;Kaolin + Pektin Sirup ;Botol;3.510;;;;;;
695;OBUM469;Kaplet mengandung:Acetaminofen 500 mg, Gliseril guaiacolat 50 mg, Fenilpropanolamin HCl 15 mg, Dekstrometorfan HBr 15 mg, Chlorfeniramine maleat;Kaplet ;;;;;;;
696;OBUM470;Kaptopril tablet 50 mg;Tablet;;;;;;;
697;OBUM471;Karbazochrom Na. Inj.;Ampul;;;;;;;
698;OBUM472;Karboksimetilselulosa 5 mg tetes mata (cenfresh) minidose;pcs;5.060;;;;;;
699;OBUM473;Ketoacid essensial;Tablet;;;;;;;
700;OBUM474;Ketokonazole krim ;Tube;2.518;;;;;;
701;OBUM475;Ketoprofen Injeksi ;Ampul;;;;;;;
702;OBUM476;Ketoprofen Suppos;Suppos;2.380;;;;;;
703;OBUM477;Ketoprofen Tablet 100 Mg;Tablet;;;;;;;
704;OBUM478;Ketorolac injeksi 10 mg/ml;Ampul;1.089;;;;;;
705;OBUM479;Ketorolac tablet 10 mg;Tablet;;;;;;;
706;OBUM480;Ketotifen sirup 0,2 mg/ml;Botol;;;;;;;
707;OBUM481;Ketotifen tablet 1 mg;Tablet;;;;;;;
708;OBUM482;Klindamisin kaps. 150 mg;Kapsul;;;;;;;
709;OBUM483;Klindamisin kaps. 300 mg;Kapsul;1.300;;;;;;
710;OBUM484;Klobazam tab 10 mg;Tablet;705;;;;;;
711;OBUM485;Klobetasol 10 G Krim;Tube;;;;;;;
712;OBUM486;Klobetasol Propionat Salep;Tube;;;;;;;
713;OBUM487;Klopidogrel tab 75 mg;Tablet;1.318;;;;;;
714;OBUM488;Kloramfenikol kaps. 500 mg;Kapsul;1.163;;;;;;
715;OBUM489;Kloramfenikol 2% + Hydrokortison 2,5% krim (armacort);Tube;7.700;;;;;;
716;OBUM490;Kloramfenikol Basa + Prednisolone krim;Tube;;;;;;;
717;OBUM491;Kloramfenikol tetes telinga 3 % ;Botol;7.500;;;;;;
718;OBUM492;Klozapine tab 25 mg;Tablet;1.121;;;;;;
719;OBUM493;Kodein 30 mg + feniltoloksamin 10 mg;Botol;;;;;;;
720;OBUM494;Setiap tablet tambah darah SEKURANGNYA mengandung Zat besi setara dengan 60 mg besi elemental (dalam bentuk sediaan Ferro) Asam folat 0,400 mg (DROPPING DINAS);Tablet;;;;;;;
721;OBUM495;Kombinasi : MedroksiprogesteronAsetat  50 mg, Estradiol Sipinoat 10 mg (Cyclofem Inj.);Vial;;;;;;;
722;OBUM496;Kombinasi Larutan Infus Per L : Ca++ 3 mEq, Na+ 130 mEq, Cl- 109 mEq, Asetat 28 mEq (Asering Infus);Botol;;;;;;;
723;OBUM497;Kombinasi Larutan Infus Per L: NaCl 1,75 g, KCL 1,5 g, Na. Laktat 2, 24 g, Dekstrosa Anhidrat 27 g (KAEN 3B);Botol;;;;;;;
724;OBUM498;Kombinasi Fe, Asam folat, Vitamin B;Kapsul;;;;;;;
725;OBUM499;Kombinasi Metampiron 500 mg + Vit B tablet;Tablet;;;;;;;
726;OBUM500;Kombinasi Suspensi Parafin+Gliserin+Fenolftalein;Botol;;;;;;;
727;OBUM501;Kortison Acetat Inj 5 ml;Vial;;;;;;;
728;OBUM502;Lactobacillus serbuk;Sachet;;;;;;;
729;OBUM503;Lansoprazole kaps. 40 mg;Kapsul;;;;;;;
730;OBUM504;Levofloxacin tab 500 mg;Tablet;;;;;;;
731;OBUM505;Levofloxacin Tetes Mata;Botol;;;;;;;
732;OBUM506;Larutan mengandung Lipid (Emulsi lemak 20%);Botol;;;;;;;
733;OBUM507;Lecithin 100 mg + Serratiopeptidase 5 mg + pancreatin 25 mg kapsul;Kapsul;;;;;;;
734;OBUM508;Lincomycin 500 MG;Kapsul;1.251;;;;;;
735;OBUM509;Linezolid infus 600 mg;Botol;;;;;;;
736;OBUM510;Lisinopril tab 10 mg;Tablet;;;;;;;
737;OBUM511;Loperamide tab 2 mg;Tablet;143;;;;;;
738;OBUM512;Losartan tab 50 mg;Tablet;;;;;;;
739;OBUM513;Loratadine 5 mg, pseudoephedrine sulfate 120 mg;Tablet;;;;;;;
740;OBUM514;L-Ornithine-L-Aspartate injeksi 500 mg/ml;Ampul;;;;;;;
741;OBUM515;Mekobalamin 500 Mcg;Kapsul;;;;;;;
742;OBUM516;Mekobalamin 250 Mcg;Kapsul;;;;;;;
743;OBUM517;Mekobalamin Injeksi;Ampul;;;;;;;
744;OBUM518;Meloksikam Tablet 15 Mg;Tablet;;;;;;;
745;OBUM519;Meloksikam Tablet 7,5 Mg;Tablet;;;;;;;
746;OBUM520;Menadion ( Vit K 3) Amp 10 mg/ml;Ampul;;;;;;;
747;OBUM521;Metampiron 500 mg + Thiamin HCl50 mg + Pridoksin HCl 10 mg + Sianokobalamin HCl 10 mcg + Trimetilsantin 50 mg tablet (Neuralgin);Tablet;539;;;;;;
748;OBUM522;Methildopa tablet 250 mg;Tablet;946;;;;;;
749;OBUM523;Methil prednisolone tab 4 mg;Tablet;300;;;;;;
750;OBUM524;Methil prednisolone tab 8 mg;Tablet;;;;;;;
751;OBUM525;Methil prednisolone tab 16 mg;Tablet;400;;;;;;
752;OBUM526;Methisoprinol 250 mg/5 ml sirup 60 ml;Botol;;;;;;;
753;OBUM527;Methisoprinol Tablet 500 Mg;Tablet;;;;;;;
754;OBUM528;Methyl salicylate 102 mg, menthol 54.4 mg, eugenol 13.6 mg krim (Molakrim);Tube;8.382;;;;;;
755;OBUM529;Metoklopramide injeksi 5 mg/5 ml;Ampul;3.960;;;;;;
756;OBUM530;Metoklopramide 5 mg/5ml sirup 60 ml;Botol;;;;;;;
757;OBUM531;Metronidazole 500 mg + nystatin 100.000 iu ovula;Ovula;;;;;;;
758;OBUM532;Micobacterium Tuberculosisi 0,4 mcg + disodium fosfat 7,6 mg+Potasium fosfat 1,45 mg +sodium klorida 4,8 mg (PPD RT23);Vial; - ;;;;;;
759;OBUM533;Milrinone injeksi;Vial;;;;;;;
760;OBUM534;Misoprostol Tablet 200 Mcg;Tablet;5.434;;;;;;
761;OBUM535;Moksifloksasin tts mata 0,5%;Botol;;;;;;;
762;OBUM536;Multivitamin + Lysine Drop;botol;;;;;;;
763;OBUM537;Multivitamin + Lysine Sirup Anak;Botol;4.273;;;;;;
764;OBUM538;Mupirosin Krim;Tube;;;;;;;
765;OBUM539;Na Hyaluronat 0.1% tetes mata;Botol;;;;;;;
766;OBUM540;Na lauril sulfoasetat 45 mg, Na sitrat 450 mg, asam sorbat 5 mg, PEG-400 625 mg, sorbitol 4.465 mg;Tube;;;;;;;
767;OBUM541;NaCL 0,9% 100 ml;Botol;;;;;;;
768;OBUM542;NaCL 0,9% 500 ml;botol;6.800;;;;;;
769;OBUM543;Naftidrofuryl Oxalate tablet 100 mg;Tablet;;;;;;;
770;OBUM544;Natium diklofenak tetes mata 1 mg;Botol;;;;;;;
771;OBUM545;Natrium diklofenak gel 1% ;Tube;;;;;;;
772;OBUM546;Natrium dokusate tetes telinga 5 mg;Botol;;;;;;;
773;OBUM547;Neomisin 3,5 mg + Polimiksin 16.250 IU + Fenilefrin 1,2 mg + asam borat 1,769 mg/ ml tetes mata ;Botol;;;;;;;
774;OBUM548;Neomisin sulfat 3,5 mg + polimiksin B sulfat 10000 iu + deksametason sodium fospat 1 mg tetes mata;Botol;;;;;;;
775;OBUM549;neomycin sulfate setara dengan neomycin base 3.5 mg polymixin b sulfate 10000 iu dan dexamethason sodium phosphate 1 mg ;Botol;;;;;;;
776;OBUM550;Nifuroksazide sirup 250 mg/5 ml;Botol;;;;;;;
777;OBUM551;Nitrogliserin injeksi 10 mg;Ampul;;;;;;;
778;OBUM552;Norephineprine injeksi;Ampul;;;;;;;
779;OBUM553;Noretisteron tab 5 mg;Tablet;;;;;;;
780;OBUM554;Obat Batuk Pilek Sirup Anak (Mengandung Pseudoefedrin, Tanpa Parasetamol);Botol;;;;;;;
781;OBUM555;Obat Batuk Pilek Sirup Anak (Mengandung Parasetamol) (BabyCough);Botol;3.850;;;;;;
782;OBUM556;Obat Batuk Hitam (OBH) sirup;Botol;3.850;;;;;;
783;OBUM557;Ofloksasin 2 Mg/ml Infus 100 Ml;bag;;;;;;;
784;OBUM558;Ofloksasin 3 mg tetes mata mini dose 0.6 ml;strip;;;;;;;
785;OBUM559;Ofloxacin 3mg/ml tetes telinga;Botol;;;;;;;
786;OBUM560;Oksitetrasiklin Salep Kulit 3 %;Tube;1.959;;;;;;
787;OBUM561;Ondansetron injeksi 4mg;Ampul;1.124;;;;;;
788;OBUM562;Ondansetron tab 8 mg;Tablet;;;;;;;
789;OBUM563;Ossein hydroxyapatite compound tablet 800 mg ;Tablet;;;;;;;
790;OBUM564;Otilonium Br;Tablet;;;;;;;
791;OBUM565;Oxytetrasiklin salep Kulit;Tube;;;;;;;
792;OBUM566;Oxytetrasiklin salep mata;Tube;2.500;;;;;;
793;OBUM567;Pantoprazole Injeksi  40 Mg ;Vial;;;;;;;
794;OBUM568;Pantoprazole kapsul 20 mg;Kapsul;;;;;;;
795;OBUM569;Papaverin injeksi;Ampul;;;;;;;
796;OBUM570;Papaverin 40 mg tablet;Tablet;117;;;;;;
797;OBUM571;Paracetamol 500mg, Phenylpropanolamine HCl 12,5mg, chlorpheniramine maleate 2mg (Molexflu);Tablet;393;;;;;;
798;OBUM572;Parasetamol 500 mg + n-asetilsitein 200 mg tablet;Tablet;;;;;;;
799;OBUM573;Parasetamol supp 80 mg;Suppos;;;;;;;
800;OBUM574;Parasetamol supp 125 mg;Suppos;15.510;;;;;;
801;OBUM575;Parasetamol supp 160 mg;Suppos;;;;;;;
802;OBUM576;Parasetamol supp 240 mg;Suppos;;;;;;;
803;OBUM577;Parasetamol supp 250mg;Suppos;21.670;;;;;;
804;OBUM578;Parekoksib injeksi 40 mg/2 ml;Ampul;;;;;;;
805;OBUM579;Piperacillin 4 g, tazobactam 500 mg injeksi;Vial;;;;;;;
806;OBUM580;PIRASETAM 12gr 60ml infus;Vial;;;;;;;
807;OBUM581;PIRASETAM 1gr injeksi;Ampul;;;;;;;
808;OBUM582;Pirasetam Amp 3 G;Ampul;;;;;;;
809;OBUM583;Pirasetam tablet 800 mg;Tablet;;;;;;;
810;OBUM584;Pirasetam tablet 1200 mg;Tablet;;;;;;;
811;OBUM585;Pirenoxin Sodium 0.05 mg/ml tts mata;Botol;;;;;;;
812;OBUM586;Piroksikam 15 mg gel;Tube;;;;;;;
813;OBUM587;Piroksikam Tablet 10 Mg;Tablet;90;;;;;;
814;OBUM588;Piroksikam Tablet 20 Mg;Tablet;94;;;;;;
815;OBUM589;Polimiksin B sulfat 10.000 UI, Neomisin sulfat 5 mg, Fludokortison asetat 1 mg, Lidokain HCl 40 mg;Ampul;;;;;;;
816;OBUM590;Polikresulen 10 ml (Albothyl);Botol;26.675;;;;;;
817;OBUM591;Polivinilpirolidon 20 mg tetes mata;Botol;;;;;;;
818;OBUM592;Polymixin b-sulfat 1.000.000 IU, Neomisin sulfat 0.5 mg, Fludokortison asetat 100 mg, Lidokain HCl 4 g, PEG, Gliserin Tetes telinga;Botol;;;;;;;
819;OBUM593;Povidon Iodine Gargle 1%;Botol;;;;;;;
820;OBUM594;Pregabalin kapsul 150 mg;Kapsul;;;;;;;
821;OBUM595;Pregabalin kapsul 75 mg;Kapsul;;;;;;;
822;OBUM596;Preparat optalmik tetes mata;Botol;;;;;;;
823;OBUM597;Propanolol tab 40 mg;Tablet;;;;;;;
824;OBUM598;Pseudoefedrin 7,5 mg Drop;Botol;;;;;;;
825;OBUM599;Pseudoefedrin HCL 15 mg + Terfenadine HCl 20 mg/ml sirup;Botol;;;;;;;
826;OBUM600;Pseudoefedrin HCl 30 mg + Terfenadin 40 mg;Tablet;;;;;;;
827;OBUM601;Pseudoefedrin Hcl 60 mg + Loratadin 5 mg;Tablet;;;;;;;
828;OBUM602;Pseudoephedrine Hcl 15 mg + klorfeniramin maleat 1 mg sirup;Botol;;;;;;;
829;OBUM603;Pseudoephedrine HCl 30 mg + Brompheniramine maleat 2 mg/5 ml sirup;Botol;;;;;;;
830;OBUM604;Pseudoephedrine Hcl 30 mg, Triprolidine 2,5 mg tab ;Tablet;;;;;;;
831;OBUM605;Pulmicort Respules 0,25 mg/ml (anak) @ 2 ml;Ampul ;9.725;;;;;;
832;OBUM606;Pulmicort Respules 0,50 mg/ml (dewasa) @ 2 ml;Ampul ;;;;;;;
833;OBUM607;Pure lecithin (PPC 95%) 300 mg, vit B1 6 mg, vit B2 6 mg, vit B6 6 mg, vit B12 6 mcg, vit E 10 mg, nicotinamide 30 mg kapsul;Kapsul;;;;;;;
834;OBUM608;Ramipril tab 5 mg;Tablet;;;;;;;
835;OBUM609;Ranitidin injeksi ;Ampul;1.155;;;;;;
836;OBUM610;Ranitidin sirup 75 mg/5 ml ;Botol;;;;;;;
837;OBUM611;Rebamipide 100 Mg Tablet;Tablet;;;;;;;
838;OBUM612;Recombinan hepatitis B inj 10 mcg/0.5 mL (syringe) 0.5 mL;Ampul;;;;;;;
839;OBUM613;Reserpin tab 0,25 mg;Tablet;;;;;;;
840;OBUM614;Retinol (Vitamin A) 6000 UI;Kapsul;350;;;;;;
841;OBUM615;Rifampisin kaps. 600 mg;Kapsul;;;;;;;
842;OBUM616;Rifampisin kaps. 450 mg;Kapsul;594;;;;;;
843;OBUM617;Ringer Laktar (RL) Larutan Infus;Botol;7.630;;;;;;
844;OBUM618;Risperidone tab 2 mg;Tablet;287;;;;;;
845;OBUM619;Rivanol (ETAKRIDIN);Botol;2.550;;;;;;
846;OBUM620;Rocuronium Bromide;Vial;;;;;;;
847;OBUM621;Ropivacain hidroklorida injeksi 2 mg/ml;Vial;;;;;;;
848;OBUM622;Salbutamol sulfat rotacaps 200 mcg;Kapsul;200;;;;;;
849;OBUM623;Salbutamol sulfat injeksi 2,5 mg/ml (Ventolin Nebules);Ampul;13.750;;;;;;
850;OBUM624;Sefadroksil kaps. 500 mg;Kapsul;508;;;;;;
851;OBUM625;Sefadroksil kaps. 250 mg;Kapsul;;;;;;;
852;OBUM626;Sefadroksil sirup kering ;Botol;;;;;;;
853;OBUM627;Sefaleksin kaps. 500 mg;Kapsul;;;;;;;
854;OBUM628;Sefiksim kapsul/kaplet 200 mg;Kapsul;;;;;;;
855;OBUM629;Sefiksim kapsul/kaplet 100 mg;Kapsul;387;;;;;;
856;OBUM630;Sefiksim sirup kering 100 mg/5ml;Botol;;;;;;;
857;OBUM631;Sefoperazone + Sulbactam Vial 1 G;Vial;;;;;;;
858;OBUM632;Sefotiam dihidroklorida 1 gram injeksi;Vial;;;;;;;
859;OBUM633;Sefotaksim serbuk injeksi 1 G;Vial;6.415;;;;;;
860;OBUM634;Seftriaksone serbuk injeksi 1 G;Vial;3.330;;;;;;
861;OBUM635;Septocain Inj. (Articane  HCL dan Epinephrine);Ampul;;;;;;;
862;OBUM636;Setirizine tablet 10 mg;Tablet;90;;;;;;
863;OBUM637;Setirizine drop;Botol;;;;;;;
864;OBUM638;Sianokobalamin (vitamin B12) tab 50 mcg;Tablet;;;;;;;
865;OBUM639;Simetidine tab 200 mg;Tablet;;;;;;;
